	x
268	NODE_27985_length_1036_cov_498.762336_g17062_i0
269	NODE_6867_length_2326_cov_934.950942_g2884_i1
270	NODE_2338_length_3280_cov_122.654310_g1509_i0
271	NODE_5650_length_2492_cov_526.103307_g197_i1
272	NODE_31328_length_912_cov_1144.907940_g15670_i1
273	NODE_35372_length_775_cov_438.393443_g17929_i3
274	NODE_9837_length_2021_cov_103.192113_g5599_i1
275	NODE_27284_length_1063_cov_354.525490_g16628_i0
276	NODE_13618_length_1738_cov_86.140413_g1752_i2
277	NODE_6815_length_2334_cov_37.701877_g4358_i0
278	NODE_2873_length_3099_cov_121.354712_g1851_i0
279	NODE_54902_length_320_cov_2613.548736_g39692_i0
280	NODE_19535_length_1402_cov_624.611479_g12039_i0
281	NODE_16523_length_1563_cov_99.461842_g6691_i1
282	NODE_1767_length_3535_cov_195.109107_g1065_i1
283	NODE_25460_length_1136_cov_335.016468_g7598_i2
284	NODE_56074_length_306_cov_957.889734_g40864_i0
285	NODE_2452_length_3236_cov_93.016286_g229_i3
286	NODE_24670_length_1169_cov_290.769094_g15059_i0
287	NODE_4676_length_2653_cov_222.830268_g767_i3
288	NODE_21194_length_1321_cov_58.519562_g13023_i0
289	NODE_11450_length_1891_cov_66.215368_g2229_i1
290	NODE_13140_length_1771_cov_189.304398_g8147_i1
291	NODE_7923_length_2208_cov_206.332564_g5040_i0
292	NODE_58517_length_281_cov_839.718487_g43307_i0
293	NODE_6281_length_2403_cov_124.213983_g2891_i2
294	NODE_53589_length_337_cov_99.772109_g38379_i0
295	NODE_27735_length_1046_cov_413.714855_g7696_i1
296	NODE_6787_length_2337_cov_519.484743_g3933_i1
297	NODE_17236_length_1524_cov_109.777853_g2037_i3
298	NODE_1283_length_3815_cov_143.439555_g409_i2
299	NODE_17654_length_1502_cov_242.388622_g9464_i3
300	NODE_13552_length_1742_cov_417.416716_g3092_i2
301	NODE_24515_length_1175_cov_151.934629_g14974_i0
302	NODE_20179_length_1370_cov_159.222306_g12429_i0
303	NODE_14952_length_1651_cov_106.605721_g8174_i1
304	NODE_7536_length_2249_cov_919.737081_g1242_i1
305	NODE_15656_length_1611_cov_287.547832_g9733_i0
306	NODE_23725_length_1210_cov_165.019709_g5414_i7
307	NODE_35951_length_757_cov_76.186275_g22336_i0
308	NODE_45723_length_487_cov_217.250000_g30565_i0
309	NODE_15469_length_1622_cov_154.424319_g7813_i1
310	NODE_17259_length_1523_cov_136.229054_g10706_i0
311	NODE_27669_length_1049_cov_377.633201_g13862_i3
312	NODE_20863_length_1336_cov_273.417633_g11597_i2
313	NODE_21271_length_1318_cov_125.702745_g6808_i5
314	NODE_30494_length_940_cov_164.622074_g13800_i1
315	NODE_11390_length_1896_cov_187.616298_g1463_i3
316	NODE_8249_length_2172_cov_135.741663_g3692_i1
317	NODE_35549_length_770_cov_108.510316_g22040_i0
318	NODE_11128_length_1916_cov_452.369461_g7020_i0
319	NODE_43471_length_542_cov_231.212425_g28433_i0
320	NODE_9615_length_2040_cov_305.439659_g6100_i0
321	NODE_935_length_4093_cov_42.953580_g486_i1
322	NODE_2896_length_3092_cov_189.708101_g1688_i1
323	NODE_10731_length_1949_cov_126.637461_g6190_i1
324	NODE_23876_length_1202_cov_75.737705_g5888_i1
325	NODE_10547_length_1963_cov_222.356771_g6652_i0
326	NODE_11464_length_1890_cov_76.183541_g7230_i0
327	NODE_4141_length_2766_cov_94.739258_g2676_i0
328	NODE_6405_length_2387_cov_33.607509_g4108_i0
329	NODE_33561_length_836_cov_218.181589_g18710_i1
330	NODE_22591_length_1260_cov_144.124076_g7461_i1
331	NODE_37985_length_696_cov_173.753446_g23867_i0
332	NODE_31468_length_907_cov_444.819444_g19235_i0
333	NODE_7876_length_2213_cov_275.247005_g5011_i0
334	NODE_12530_length_1813_cov_71.411864_g7863_i0
335	NODE_961_length_4065_cov_87.871706_g639_i0
336	NODE_31062_length_922_cov_161.556314_g13800_i2
337	NODE_8669_length_2129_cov_108.961649_g5500_i0
338	NODE_9640_length_2038_cov_138.012531_g1312_i2
339	NODE_30532_length_939_cov_95.321429_g10052_i1
340	NODE_36657_length_737_cov_143.589337_g21410_i2
341	NODE_20144_length_1372_cov_75.141460_g4767_i1
342	NODE_36607_length_738_cov_255.319424_g22819_i0
343	NODE_17352_length_1518_cov_2966.739661_g8415_i1
344	NODE_23444_length_1222_cov_111.543681_g4258_i1
345	NODE_1705_length_3572_cov_133.308869_g320_i1
346	NODE_30902_length_927_cov_586.846154_g9646_i1
347	NODE_9613_length_2040_cov_513.005508_g4150_i1
348	NODE_19088_length_1424_cov_586.240406_g11790_i0
349	NODE_18179_length_1473_cov_86.237063_g11231_i0
350	NODE_21835_length_1294_cov_69.019984_g13403_i0
351	NODE_9430_length_2055_cov_74.358350_g5987_i0
352	NODE_14084_length_1708_cov_170.654054_g2264_i2
353	NODE_3708_length_2861_cov_322.227111_g1888_i1
354	NODE_7079_length_2302_cov_186.033201_g4524_i0
355	NODE_9156_length_2081_cov_101.755643_g2129_i1
356	NODE_22822_length_1250_cov_504.968517_g13967_i0
357	NODE_9480_length_2052_cov_287.370831_g6015_i0
358	NODE_66250_length_224_cov_675.898876_g51040_i0
359	NODE_16155_length_1583_cov_61.347403_g10035_i0
360	NODE_6937_length_2318_cov_62.981978_g4431_i0
361	NODE_12231_length_1835_cov_119.165737_g4517_i1
362	NODE_1776_length_3528_cov_148.662841_g1065_i2
363	NODE_25768_length_1123_cov_307.962963_g3349_i7
364	NODE_28365_length_1021_cov_92.019427_g15358_i1
365	NODE_16755_length_1550_cov_354.116125_g1548_i3
366	NODE_20444_length_1357_cov_447.022070_g12578_i0
367	NODE_4585_length_2672_cov_75.642830_g1990_i1
368	NODE_2422_length_3247_cov_53.020599_g927_i1
369	NODE_5119_length_2575_cov_72.180095_g3284_i0
370	NODE_3871_length_2828_cov_64.458169_g1385_i1
371	NODE_13384_length_1754_cov_64.018118_g8364_i0
372	NODE_8944_length_2101_cov_89.711856_g5676_i0
373	NODE_6502_length_2376_cov_84.956279_g3262_i1
374	NODE_28665_length_1009_cov_1076.422360_g3933_i2
375	NODE_5825_length_2466_cov_94.516715_g2986_i1
376	NODE_6139_length_2421_cov_1007.025231_g2232_i1
377	NODE_2484_length_3222_cov_196.067631_g937_i3
378	NODE_19494_length_1404_cov_100.066863_g12014_i0
379	NODE_8659_length_2130_cov_269.242453_g2166_i1
380	NODE_31241_length_915_cov_503.567661_g19081_i0
381	NODE_33620_length_834_cov_83.313527_g20669_i0
382	NODE_22689_length_1256_cov_67.989283_g1043_i3
383	NODE_15167_length_1638_cov_334.443260_g1548_i2
384	NODE_1682_length_3580_cov_177.471586_g937_i1
385	NODE_45722_length_487_cov_639.157658_g30564_i0
386	NODE_11218_length_1909_cov_203.191854_g4107_i1
387	NODE_4695_length_2649_cov_63.259401_g2880_i1
388	NODE_7551_length_2248_cov_265.161905_g4813_i0
389	NODE_20688_length_1344_cov_109.890085_g12724_i0
390	NODE_40458_length_625_cov_574.683849_g25819_i0
391	NODE_5461_length_2519_cov_69.117124_g2253_i1
392	NODE_18020_length_1482_cov_243.159833_g11151_i0
393	NODE_24335_length_1182_cov_533.041264_g14858_i0
394	NODE_1666_length_3587_cov_54.891648_g1095_i0
395	NODE_23279_length_1229_cov_258.338111_g1620_i2
396	NODE_33692_length_831_cov_835.917513_g12204_i1
397	NODE_18667_length_1447_cov_62.365385_g11532_i0
398	NODE_2748_length_3134_cov_408.266904_g420_i3
399	NODE_32606_length_868_cov_117.711515_g19992_i0
400	NODE_50355_length_388_cov_18.817391_g18700_i1
401	NODE_35962_length_757_cov_30.134454_g22346_i0
402	NODE_42599_length_565_cov_33.220307_g27638_i0
403	NODE_13154_length_1770_cov_498.313839_g758_i3
404	NODE_10730_length_1949_cov_177.830010_g6762_i0
405	NODE_19699_length_1393_cov_74.057037_g2544_i1
406	NODE_5263_length_2551_cov_347.935407_g923_i2
407	NODE_20807_length_1339_cov_121.019290_g7022_i3
408	NODE_25463_length_1136_cov_140.516926_g15553_i0
409	NODE_2139_length_3365_cov_58.317881_g1191_i1
410	NODE_12117_length_1844_cov_167.124931_g2505_i1
411	NODE_11323_length_1902_cov_73.211404_g7142_i0
412	NODE_22703_length_1255_cov_182.850660_g6969_i1
413	NODE_2313_length_3294_cov_77.858813_g1490_i0
414	NODE_11130_length_1916_cov_91.933796_g642_i2
415	NODE_6280_length_2403_cov_203.216949_g4019_i0
416	NODE_36813_length_732_cov_426.583454_g22980_i0
417	NODE_1708_length_3571_cov_38.482710_g392_i1
418	NODE_8082_length_2190_cov_207.916628_g800_i4
