	logFC	logCPM	PValue	FDR
NODE_62988_length_245_cov_3.297030_g47778_i0	5.08331446356587	10.3955815841132	1.92556706672372e-32	9.2395126418293e-30
NODE_11193_length_1911_cov_255.154176_g5726_i1	-5.33115277232954	6.37767732906179	4.27722169393416e-32	1.99688452813564e-29
NODE_14535_length_1677_cov_318.499388_g6302_i2	-4.80870222879189	6.77256279971767	5.81485317174099e-32	2.64330983391194e-29
NODE_17974_length_1484_cov_510.761971_g11122_i1	-4.98955581761829	6.3301049615146	1.206082089739e-31	5.3420159020901e-29
NODE_44129_length_526_cov_15.511387_g29038_i0	4.86435210935835	7.26256149284431	4.31143683734997e-31	1.86189399820959e-28
NODE_32902_length_858_cov_533.749693_g20191_i0	-4.72177846155855	6.74671709185652	5.34473565681446e-31	2.25182838380032e-28
NODE_41122_length_606_cov_258.790409_g26366_i0	4.10842540308203	10.2839581534872	8.24038554798902e-31	3.38915285609434e-28
NODE_36231_length_749_cov_6.804533_g22531_i0	4.96734007285027	7.64089737875851	9.62031428960632e-31	3.86468160555022e-28
NODE_21266_length_1318_cov_420.167059_g13063_i0	-4.60979637432952	6.90651230397782	3.10633574942373e-30	1.21951917580785e-27
NODE_16825_length_1546_cov_258.330007_g10454_i0	-4.62622872316021	6.60796964573516	1.61612703474568e-29	6.20377297737709e-27
NODE_38731_length_675_cov_5.452532_g24430_i0	4.8624226195288	6.85438301894932	2.96382186538591e-29	1.11297954136253e-26
NODE_27253_length_1064_cov_3758.840353_g16608_i0	-4.24171289472859	8.24631869805198	4.84165022877947e-29	1.77946097982844e-26
NODE_30433_length_942_cov_415.781980_g18593_i0	-4.3671595620991	6.91565886205639	6.73484639360634e-29	2.38691137673846e-26
NODE_7205_length_2286_cov_354.069104_g2248_i1	-4.45559890800779	6.72033627228398	6.7707917946153e-29	2.38691137673846e-26
NODE_6655_length_2355_cov_409.028114_g1425_i4	-4.52857015429918	6.6698242331399	8.30423409179064e-29	2.86894679403183e-26
NODE_13299_length_1760_cov_460.525335_g8306_i0	-4.27005219314429	7.17000902741205	8.54802688901269e-29	2.89526698981971e-26
NODE_98656_length_103_cov_123.767123_g83446_i0	3.96228581760286	10.0647068218918	1.11896216327039e-28	3.71710623237168e-26
NODE_14430_length_1685_cov_377.307552_g8993_i0	-4.31060124745292	6.81725213182515	3.03407437831699e-28	9.88879260585805e-26
NODE_12698_length_1800_cov_635.972681_g3796_i2	-4.39011053783091	6.60749889193813	4.12214880197435e-28	1.31862960009824e-25
NODE_45597_length_490_cov_644.738255_g30442_i0	-3.98006030895539	7.93771291868918	9.94413851397201e-28	3.12318270346095e-25
NODE_7846_length_2216_cov_178.610676_g3736_i2	-4.64495191874587	6.01319349207494	1.06956292133394e-27	3.29921962555758e-25
NODE_27252_length_1064_cov_3796.830558_g16607_i0	-3.83319110448672	9.55280657218508	1.47849537585154e-27	4.45363398043075e-25
NODE_13606_length_1739_cov_39.109670_g8500_i0	4.13271021037258	8.48002775390426	1.49537322487544e-27	4.45363398043075e-25
