	x
249	NODE_23138_length_1236_cov_15.924560_g14151_i0
250	NODE_88747_length_154_cov_1.720721_g73537_i0
251	NODE_4741_length_2639_cov_77.251926_g3048_i0
252	NODE_10537_length_1964_cov_60.998438_g6644_i0
253	NODE_32674_length_866_cov_89.910085_g20041_i0
254	NODE_8551_length_2141_cov_8.738799_g5424_i0
255	NODE_40369_length_628_cov_9.213675_g25740_i0
256	NODE_21611_length_1304_cov_26.007137_g8556_i1
257	NODE_34565_length_802_cov_10.140975_g21318_i0
258	NODE_34852_length_792_cov_30.200267_g21534_i0
259	NODE_38796_length_673_cov_22.153968_g24481_i0
260	NODE_4309_length_2730_cov_68.321920_g2783_i0
261	NODE_38314_length_687_cov_26.170807_g1743_i3
262	NODE_7940_length_2207_cov_8.944547_g5051_i0
263	NODE_48472_length_424_cov_7.446194_g33274_i0
264	NODE_33433_length_841_cov_20.116541_g13698_i1
265	NODE_14117_length_1706_cov_220.819002_g6561_i1
266	NODE_30484_length_941_cov_10.064588_g18626_i0
267	NODE_6906_length_2322_cov_17.883721_g4410_i0
268	NODE_11178_length_1913_cov_8.879144_g7051_i0
269	NODE_86988_length_157_cov_3.070175_g71778_i0
270	NODE_41715_length_589_cov_8.998168_g26871_i0
271	NODE_38422_length_684_cov_11.407176_g24189_i0
272	NODE_53089_length_344_cov_32.913621_g37879_i0
273	NODE_39889_length_641_cov_10.896321_g25351_i0
274	NODE_17015_length_1536_cov_164.041527_g8339_i1
275	NODE_32471_length_873_cov_4.608434_g19901_i0
276	NODE_20527_length_1353_cov_5.483206_g12631_i0
277	NODE_22716_length_1255_cov_14.127063_g13914_i0
278	NODE_8828_length_2113_cov_177.666667_g301_i4
279	NODE_20014_length_1378_cov_181.480899_g12322_i0
280	NODE_6722_length_2348_cov_13.464208_g4297_i0
281	NODE_41599_length_592_cov_9.488160_g26773_i0
282	NODE_39010_length_666_cov_66.499197_g24642_i0
283	NODE_38649_length_677_cov_2082.044164_g24369_i0
284	NODE_19266_length_1416_cov_17.783685_g11882_i0
285	NODE_12490_length_1816_cov_38.632826_g6644_i1
286	NODE_23361_length_1226_cov_63.482671_g12824_i1
287	NODE_25452_length_1137_cov_21.762340_g15546_i0
288	NODE_23740_length_1210_cov_9.886033_g13620_i1
289	NODE_17258_length_1523_cov_151.256081_g10705_i0
290	NODE_35207_length_781_cov_57.487805_g17935_i1
291	NODE_34513_length_803_cov_116.027632_g21283_i0
292	NODE_30511_length_940_cov_12.037904_g18641_i0
293	NODE_50020_length_394_cov_6.059829_g34817_i0
294	NODE_30876_length_928_cov_251.413559_g7355_i4
295	NODE_31492_length_907_cov_15.885417_g19248_i0
296	NODE_32056_length_887_cov_23.100711_g18163_i1
297	NODE_38250_length_689_cov_13.260062_g24058_i0
298	NODE_31590_length_903_cov_15.724419_g19321_i0
299	NODE_29178_length_991_cov_904.030591_g17790_i0
300	NODE_27267_length_1064_cov_20.303624_g16616_i0
301	NODE_30020_length_958_cov_11.887432_g18326_i0
302	NODE_32424_length_874_cov_246.403129_g7355_i5
303	NODE_25598_length_1130_cov_55.336707_g2565_i2
304	NODE_12689_length_1801_cov_26.622867_g7962_i0
305	NODE_54917_length_320_cov_2.783394_g39707_i0
306	NODE_31977_length_890_cov_8.559622_g19566_i0
307	NODE_33358_length_844_cov_11.473159_g20496_i0
308	NODE_19247_length_1417_cov_17.692140_g11875_i0
309	NODE_12103_length_1845_cov_87.894562_g7607_i0
310	NODE_22325_length_1271_cov_179.531759_g13704_i0
311	NODE_22936_length_1244_cov_26.923397_g8713_i1
312	NODE_26568_length_1092_cov_66.653003_g16208_i0
313	NODE_11600_length_1879_cov_252.438998_g6787_i1
314	NODE_33834_length_827_cov_1751.306122_g13631_i1
315	NODE_27273_length_1064_cov_9.255632_g16620_i0
316	NODE_45954_length_481_cov_31.481735_g30786_i0
317	NODE_55991_length_307_cov_212.606061_g40781_i0
318	NODE_43003_length_554_cov_34.684932_g28002_i0
319	NODE_66252_length_224_cov_5.828729_g51042_i0
320	NODE_27024_length_1074_cov_45.377304_g16469_i0
321	NODE_34004_length_821_cov_32.127249_g20928_i0
322	NODE_86367_length_159_cov_1.025862_g71157_i0
323	NODE_35876_length_759_cov_1717.529330_g22281_i0
324	NODE_25586_length_1131_cov_8.247243_g15619_i0
325	NODE_15678_length_1610_cov_152.622208_g6561_i2
326	NODE_28102_length_1032_cov_17.256825_g7312_i2
327	NODE_19612_length_1398_cov_21.822878_g12085_i0
328	NODE_23775_length_1208_cov_22.508155_g14512_i0
329	NODE_23040_length_1240_cov_4.715121_g14094_i0
330	NODE_26084_length_1110_cov_87.028116_g12862_i1
331	NODE_21843_length_1294_cov_31.317346_g13407_i0
332	NODE_12367_length_1826_cov_16.107123_g7756_i0
333	NODE_17064_length_1534_cov_161.224681_g10583_i0
334	NODE_12906_length_1787_cov_28.506881_g7320_i1
335	NODE_28590_length_1012_cov_163.259030_g17417_i0
336	NODE_38654_length_677_cov_88.995268_g24373_i0
337	NODE_36870_length_730_cov_29.998544_g23025_i0
338	NODE_43482_length_542_cov_52.220441_g28443_i0
339	NODE_21906_length_1291_cov_283.571314_g12392_i1
340	NODE_19126_length_1423_cov_18.346377_g11808_i0
341	NODE_10777_length_1946_cov_10.073043_g6791_i0
342	NODE_39439_length_654_cov_183.428805_g934_i7
343	NODE_2303_length_3298_cov_20.211367_g1482_i1
344	NODE_43937_length_531_cov_226.131148_g27532_i2
345	NODE_34241_length_813_cov_43.466234_g6644_i3
346	NODE_2136_length_3367_cov_29.214501_g1104_i1
347	NODE_35059_length_785_cov_526.831536_g21680_i0
348	NODE_32145_length_883_cov_1117.641667_g19675_i0
349	NODE_11363_length_1899_cov_11.141164_g7162_i0
350	NODE_56730_length_299_cov_803.066406_g41520_i0
351	NODE_9291_length_2068_cov_332.052346_g5780_i1
352	NODE_34190_length_815_cov_36.097150_g21065_i0
353	NODE_38692_length_676_cov_25.522907_g24402_i0
354	NODE_33309_length_845_cov_605.514963_g17498_i1
355	NODE_19700_length_1393_cov_64.080000_g9813_i1
356	NODE_46081_length_478_cov_49.933333_g30910_i0
357	NODE_33896_length_825_cov_17.841432_g20850_i0
358	NODE_41625_length_591_cov_62.580292_g26799_i0
359	NODE_3841_length_2835_cov_31.006089_g2481_i0
360	NODE_3770_length_2851_cov_102.272436_g1797_i1
